England U21:Netherlands U21|2nd Half 73'
Hradec Kralove KFS (Amateur):Vojvodina (Amateur)|2nd Half 70'
Lansi-Vantaan Ylpeys (Amateur):Vaud (Amateur)|2nd Half 74'
PFK Levski Sofia:FK Radnik Surdulica|2nd Half 70'
Etar 1924 Veliko Tarnovo:Lokomotiv Sofia|2nd Half 73'
CSM Slatina:CS Paulesti|2nd Half 83'
POFC Botev Vratsa:PFC Montana 1921|2nd Half 72'
Debreceni VSC:AFK Csikszereda Miercurea Ciuc|2nd Half 74'
NK Radomlje:FC Arges|2nd Half 60'
NS Mura:Buducnost Podgorica|Half Time
Fortuna Dusseldorf II:TuS Blau-Weis Lohne|1st Half 30'
F91 Dudelange:FC 08 Homburg|1st Half 32'
RAS Jodoigne:RFC Seraing|1st Half 29'
CA Defensores Unidos U20:CA All Boys U20|Half Time
CA Excursionistas (Reserves):Club Sportivo Dock Sud (Reserves)|2nd Half 90'
Agropecuario Argentino (Reserves):CA All Boys (Reserves)|1st Half 27'
Barra FC U20:CN Marcilio Dias U20|1st Half 1'
SJK Juniorit:KPV Akatemia|2nd Half 73'
FC Lahti 69:TiPS|2nd Half 47'
Jippo-j/PunaMusta:SC Zulimanit|2nd Half 48'
Erbil SC:Duhok FC|2nd Half 70'
FK Tukums 2000/Telms:FK Liepaja|2nd Half 74'
FA Siauliai:FK Suduva Marijampole|2nd Half 73'
Dziugas Telsiai:FK Riteriai|2nd Half 75'
FK Dembava:FK Transinvest B|1st Half 29'
Moulaye M'Bareck:ASC Police|Half Time
Aalesunds FK:Viking FK|2nd Half 74'
Lillestrom SK:KFUM Oslo|2nd Half 73'
Rosenborg:Sarpsborg 08 FF|2nd Half 72'
Stabaek Fotball:Kristiansund BK|2nd Half 71'
Byasen IL U19:Kristiansund BK U19|2nd Half 74'
FC Druzhba Maykop:PFC Sochi 2|2nd Half 74'
FK Sevastopol:Kuban Holding|2nd Half 73'
FC Lyubertsy:FK Khimik Junior|2nd Half 71'
RW Challenge:FC Dinamo 2 SPb|Half Time
Izhorets Kolpino U22:FC Avtovo SPB U22|2nd Half 78'
SShOR Lokomotiv SPB U22:SShOR-2 Nevskogo Rayona U22|2nd Half 49'
Akademiya Alenicheva:FC Chayka Korolev|1st Half 27'
AS UAM:ASN Nigelec|2nd Half 86'
AS Douanes Dakar:Kaffrine FC|1st Half 33'
ASC Camberene:CNEPS FC|1st Half 32'
RS Yoff:Diambars FC|1st Half 32'
FOC Farsta:FC Stockholm Internazionale|1st Half 2'
Ursvik IK:Syrianska FC|Not Started
Enkopings SK:Vasalunds IF|1st Half 32'
Hammarby TFF:United IK Nordic|1st Half 31'
IFK Lulea:Bodens BK Fotball|1st Half 29'
Lucksta IF:Kubikenborgs IF|1st Half 31'
Gottne IF:Friska Viljor FC|1st Half 31'
Torns IF:IFK Hassleholm|1st Half 31'
IF Haga:Tidaholms GoIF|1st Half 31'
Skara FC:IFK Kumla|Not Started
Abacha City FC:Old Edwardians FC|1st Half 29'
