AC Horsens:FC Nordsjaelland|2nd Half 59'
Endracht Termien:KRC Genk|2nd Half 48'
SC Verl:Rot Weiss Oberhausen|1st Half 8'
Kickers Offenbach 76:SV Rot-Weiss Walldorf|1st Half 4'
SV Meppen:HHC Hardenberg|1st Half 10'
Hvidovre IF:Brondby IF|1st Half 9'
Cove Rangers FC:Banks O'Dee FC|1st Half 9'
PEC Zwolle (Wom):Twente (Wom)|1st Half 9'
Port Darwin FC:Casuarina FC|2nd Half 84'
Racing Club Avellaneda U20:Argentinos Juniors U20|1st Half 2'
CA Union de Santa Fe U20:CA Ferro Carril Oeste LP U20|1st Half 3'
CA Platense Buenos Aires U20:Gimnasia y Esgrima La Plata U20|1st Half 2'
CA Sarmiento Junin U20:CA River Plate BA U20|1st Half 6'
Central Cordoba SdE U20:CA Lanus U20|Not Started
CA Huracan U20:CA Rosario Central U20|1st Half 7'
Newells Old Boys U20:Atletico Tucuman U20|1st Half 2'
CA Banfield U20:CA Aldosivi U20|1st Half 5'
Boca Juniors U20:Instituto AC Cordoba U20|1st Half 3'
CA Talleres de Cordoba U20:CA Tigre BA U20|1st Half 2'
Estudiantes La Plata U20:CA Colon de Santa Fe U20|1st Half 3'
Velez Sarsfield U20:CA Independiente U20|Not Started
CSD Defensa y Justicia U20:Independiente Rivadavia U20|Not Started
Deportivo Riestra U20:San Lorenzo de Almagro U20|1st Half 3'
CD Moron U20:CA Nueva Chicago U20|Not Started
FC Isloch:Torpedo-BelAZ Zhodino|2nd Half 52'
ABFF U19:FC Minsk 2|2nd Half 56'
Liaoning Tieren:Nanjing City FC|2nd Half 52'
Suzhou Dongwu:Chongqing Tonglianglong|2nd Half 51'
Shanghai Jiading Huilong FC:Guangxi Pingguo FC|2nd Half 51'
Shaanxi Union FC:Dalian K'un City FC|2nd Half 51'
Shenzhen Juniors FC:Jiangxi Dingnan United FC|1st Half 40'
Lanzhou Longyuan Athletic FC:Wuxi Wugou FC|2nd Half 51'
Shandong Taishan FC B:Taian Tiankuang FC|2nd Half 52'
Guizhou Zhucheng Athletic:Wenzhou Professional FC|1st Half 40'
Nomme United:FC Elva|1st Half 9'
SalPa:FC Lahti|2nd Half 50'
Pargas IF:IFK Mariehamn 2|2nd Half 52'
Helsingin Palloseura (Wom):Aland United (Wom)|2nd Half 51'
EBK (Wom):Kotkan Tyovaen Palloilijat (Wom)|2nd Half 52'
Valur/KH U19:KR Reykjavik/KV U19|1st Half 9'
Jubilo Iwata:Vegalta Sendai|2nd Half 77'
FK Ulytau:FC Zhetysu|1st Half 9'
Naivas FC:Posta Rangers FC|1st Half 10'
FK Kauno Zalgiris B:FK Nevezis|1st Half 8'
FK Dembava:FK Sveikata Kybartai|1st Half 8'
Hang Sai:SC de Macau|2nd Half 49'
Kongsvinger IL:Raufoss Fotball IL|1st Half 9'
Flekkeroy IL:SK Vard Haugesund|2nd Half 54'
Sandnes-Ulf:Sandviken IL|1st Half 10'
Gamle Oslo FK:FUVO|1st Half 11'
Molde FK 2:Volda TI|1st Half 12'
Spartak Tambov:FC Dinamo SPb|1st Half 11'
FK Shturm Zvenigorod:SSH Gvardiya|2nd Half 55'
FC Chelyabinsk:FC Volgar Astrakhan|1st Half 8'
Dundalk FC U20:Athlone Town U20|2nd Half 81'
Vasteras SK:Landskrona BoIS|2nd Half 53'
Orgryte IS:Helsingborgs IF|2nd Half 46'
Hassleholms IF:IFK Skovde FK|2nd Half 53'
IFK Haninge:Assyriska FF|2nd Half 46'
Tvaakers IF:Lindome GIF|2nd Half 53'
Gottne IF:Taftea IK|1st Half 9'
IFK Karlshamn:FK Karlskrona|1st Half 9'
Ahlafors IF:Motala AIF FK|1st Half 10'
Amusi College WFC (Wom):Kawempe Muslim Ladies FC (Wom)|1st Half 10'
